name,email,nim,angkatan
Bella Zahra Prihatin,i0522035@student.uns.ac.id,I0522035,2022
Kiki Firmansyah,i0522036@student.uns.ac.id,I0522036,2022
Yuda Lina Permana,i0522037@student.uns.ac.id,I0522037,2022
Yoga Kartika Nugroho,i0522038@student.uns.ac.id,I0522038,2022
Dewi Saputra,i0522039@student.uns.ac.id,I0522039,2022
Dian Faris Santoso,i0522040@student.uns.ac.id,I0522040,2022
Dewi Wijaya,i0522041@student.uns.ac.id,I0522041,2022
Bella Winda Pratama,i0522042@student.uns.ac.id,I0522042,2022
Bella Setiawan,i0522043@student.uns.ac.id,I0522043,2022
Hadi Sirait,i0522044@student.uns.ac.id,I0522044,2022
Olivia Arif Maulana,i0522045@student.uns.ac.id,I0522045,2022
Fauzi Rani Firmansyah,i0522046@student.uns.ac.id,I0522046,2022
Prima Maulana,i0522047@student.uns.ac.id,I0522047,2022
Lestari Erwana Maulana,i0522048@student.uns.ac.id,I0522048,2022
Wahyu Permana,i0522049@student.uns.ac.id,I0522049,2022
Bambang Putra,i0522050@student.uns.ac.id,I0522050,2022
Diana Zulfan Susanto,i0524001@student.uns.ac.id,I0524001,2024
Fauzi Safitri,i0524002@student.uns.ac.id,I0524002,2024
Putri Lestari Kurniawan,i0524003@student.uns.ac.id,I0524003,2024
Laila Putri,i0524004@student.uns.ac.id,I0524004,2024
Andi Rahayu,i0524005@student.uns.ac.id,I0524005,2024
Gita Oscar Pangestu,i0524006@student.uns.ac.id,I0524006,2024
Nanda Atmaja,i0524007@student.uns.ac.id,I0524007,2024
Eko Kiki Harahap,i0524008@student.uns.ac.id,I0524008,2024
Prima Kurniawan,i0524009@student.uns.ac.id,I0524009,2024
Nina Kartika Saputra,i0524010@student.uns.ac.id,I0524010,2024
Vina Wati Saputra,i0524011@student.uns.ac.id,I0524011,2024
Laila Joni Pratama,i0524012@student.uns.ac.id,I0524012,2024
Diana Cahyani,i0524013@student.uns.ac.id,I0524013,2024
Tina Galih Utomo,i0524014@student.uns.ac.id,I0524014,2024
Kartika Azzahra,i0524015@student.uns.ac.id,I0524015,2024
Yuda Yoga Saputra,i0524016@student.uns.ac.id,I0524016,2024
Yani Yuda Andriani,i0524017@student.uns.ac.id,I0524017,2024
Rani Wibowo,i0524018@student.uns.ac.id,I0524018,2024
Yani Saputri,i0524019@student.uns.ac.id,I0524019,2024
Lestari Erwana Wulandari,i0524020@student.uns.ac.id,I0524020,2024
Vera Galih Irawan,i0524021@student.uns.ac.id,I0524021,2024
Surya Kurniawan,i0524022@student.uns.ac.id,I0524022,2024
Cahya Bambang Hidayat,i0524023@student.uns.ac.id,I0524023,2024
Cahya Hermawan,i0524024@student.uns.ac.id,I0524024,2024
Laila Sari,i0524025@student.uns.ac.id,I0524025,2024
Zahra Dini Susanto,i0524026@student.uns.ac.id,I0524026,2024
Zaki Mulyadi,i0524027@student.uns.ac.id,I0524027,2024
Citra Mulyadi,i0524028@student.uns.ac.id,I0524028,2024
Eka Maulana,i0524029@student.uns.ac.id,I0524029,2024
Samsul Surya Firmansyah,i0524030@student.uns.ac.id,I0524030,2024
Nina Joko Kusuma,i0524031@student.uns.ac.id,I0524031,2024
Bella Irawan,i0524032@student.uns.ac.id,I0524032,2024
Taufik Yoga Pangestu,i0524033@student.uns.ac.id,I0524033,2024
Cahya Andriani,i0524034@student.uns.ac.id,I0524034,2024
Bella Lestari Cahyani,i0524035@student.uns.ac.id,I0524035,2024
Wati Pangestu,i0524036@student.uns.ac.id,I0524036,2024
Gita Maulana,i0524037@student.uns.ac.id,I0524037,2024
Nur Maharani,i0524038@student.uns.ac.id,I0524038,2024
Olivia Kurniawan,i0524039@student.uns.ac.id,I0524039,2024
Prasetyo Nurfadilah,i0524040@student.uns.ac.id,I0524040,2024
Oscar Qori Ramadhan,i0524041@student.uns.ac.id,I0524041,2024
Reza Santoso,i0524042@student.uns.ac.id,I0524042,2024
Jaya Utami Saputri,i0524043@student.uns.ac.id,I0524043,2024
Joni Kurnia Saputri,i0524044@student.uns.ac.id,I0524044,2024
Candra Putri,i0524045@student.uns.ac.id,I0524045,2024
Made Budi Nugroho,i0524046@student.uns.ac.id,I0524046,2024
Nanda Hendra Maharani,i0524047@student.uns.ac.id,I0524047,2024
Diana Eka Handoko,i0524048@student.uns.ac.id,I0524048,2024
Umi Safitri,i0524049@student.uns.ac.id,I0524049,2024
Wati Saputra,i0524050@student.uns.ac.id,I0524050,2024
Faris Aditya,i0525001@student.uns.ac.id,I0525001,2025
Zaki Prasetyo,i0525002@student.uns.ac.id,I0525002,2025
Chandra Rahayu,i0525003@student.uns.ac.id,I0525003,2025
Ilham Nina Budiman,i0525004@student.uns.ac.id,I0525004,2025
Umi Eka Wibowo,i0525005@student.uns.ac.id,I0525005,2025
Dian Cahyani,i0525006@student.uns.ac.id,I0525006,2025
Gita Maya Utomo,i0525007@student.uns.ac.id,I0525007,2025
Putri Pratama,i0525008@student.uns.ac.id,I0525008,2025
Rini Wibowo,i0525009@student.uns.ac.id,I0525009,2025
Prasetyo Handoko,i0525010@student.uns.ac.id,I0525010,2025
Arif Irawan,i0525011@student.uns.ac.id,I0525011,2025
Umar Ramadhan,i0525012@student.uns.ac.id,I0525012,2025
Arif Susanto,i0525013@student.uns.ac.id,I0525013,2025
Oscar Wibowo,i0525014@student.uns.ac.id,I0525014,2025
Vina Santoso,i0525015@student.uns.ac.id,I0525015,2025
Utami Harahap,i0525016@student.uns.ac.id,I0525016,2025
Cahya Budi Setiawan,i0525017@student.uns.ac.id,I0525017,2025
Surya Handoko,i0525018@student.uns.ac.id,I0525018,2025
Cahya Ramadhan,i0525019@student.uns.ac.id,I0525019,2025
Fitri Rani Mulyadi,i0525020@student.uns.ac.id,I0525020,2025
Zaki Budiman,i0525021@student.uns.ac.id,I0525021,2025
Zulfan Winda Gunawan,i0525022@student.uns.ac.id,I0525022,2025
Laila Darmawan,i0525023@student.uns.ac.id,I0525023,2025
Nina Hadi Sari,i0525024@student.uns.ac.id,I0525024,2025
Agus Kusuma,i0525025@student.uns.ac.id,I0525025,2025
Olivia Nur Safitri,i0525026@student.uns.ac.id,I0525026,2025
Galih Oscar Suryanto,i0525027@student.uns.ac.id,I0525027,2025
Dewi Dewi Andriani,i0525028@student.uns.ac.id,I0525028,2025
Hana Yoga Saputra,i0525029@student.uns.ac.id,I0525029,2025
Kartika Permana,i0525030@student.uns.ac.id,I0525030,2025
Tari Hendra Harahap,i0525031@student.uns.ac.id,I0525031,2025
Oscar Yoga Cahyani,i0525032@student.uns.ac.id,I0525032,2025
Zaki Mulyadi,i0525033@student.uns.ac.id,I0525033,2025
Lestari Permana,i0525034@student.uns.ac.id,I0525034,2025
Dewi Andriani,i0525035@student.uns.ac.id,I0525035,2025
Zaki Hana Nurfadilah,i0525036@student.uns.ac.id,I0525036,2025
Faris Prabowo,i0525037@student.uns.ac.id,I0525037,2025
Dian Saputri,i0525038@student.uns.ac.id,I0525038,2025
Fauzi Kartika Wibowo,i0525039@student.uns.ac.id,I0525039,2025
Oscar Wahyu Prihatin,i0525040@student.uns.ac.id,I0525040,2025
Jaya Setiawan,i0525041@student.uns.ac.id,I0525041,2025
Nur Fitri Wibowo,i0525042@student.uns.ac.id,I0525042,2025
Bayu Eka Maulana,i0525043@student.uns.ac.id,I0525043,2025
Wahyu Prasetyo,i0525044@student.uns.ac.id,I0525044,2025
Irma Wati Pratama,i0525045@student.uns.ac.id,I0525045,2025
Indah Maulana,i0525046@student.uns.ac.id,I0525046,2025
Gita Utami Sari,i0525047@student.uns.ac.id,I0525047,2025
Maulana Aditya,i0525048@student.uns.ac.id,I0525048,2025
Yoga Saputra,i0525049@student.uns.ac.id,I0525049,2025
Arif Umi Aditya,i0525050@student.uns.ac.id,I0525050,2025
